// Command line: MsdnHelper.exe /a 
// Project page: https://github.com/yallie/MsdnHelper
System.Activities.Presentation.Services,ee403396
System.Activities.Presentation.Sqm,hh135769
System.Activities.Presentation.Toolbox,ee403440
System.Activities.Presentation.Validation,ee403405
System.Activities.Presentation.View,ee403783
System.Activities.Presentation.View.OutlineView,hh505935
System.Activities.Presentation.ViewState,hh191978
System.Activities.Statements,dd647759
System.Activities.Statements.Tracking,gg554472
System.Activities.Tracking,dd502283
System.Activities.Validation,dd485042
System.Activities.XamlIntegration,dd985714
System.Activities.Activity,dd465673
System.Activities.Activity`1,dd466009
System.Activities.ActivityAction,dd466005
System.Activities.ActivityAction`1,dd485397
System.Activities.ActivityAction`2,dd454579
System.Activities.ActivityAction`3,dd454494
System.Activities.ActivityAction`4,dd454513
System.Activities.ActivityAction`5,dd780128
System.Activities.ActivityAction`6,dd987845
System.Activities.ActivityAction`7,dd781623
System.Activities.ActivityAction`8,dd779591
System.Activities.ActivityAction`9,dd987105
System.Activities.ActivityAction`10,dd988391
System.Activities.ActivityAction`11,dd987097
System.Activities.ActivityAction`12,dd780357
System.Activities.ActivityAction`13,dd986404
System.Activities.ActivityAction`14,dd782087
System.Activities.ActivityAction`15,dd988237
System.Activities.ActivityAction`16,dd986869
System.Activities.ActivityBuilder,dd988251
System.Activities.ActivityBuilder`1,ee149744
System.Activities.ActivityContext,dd484924
System.Activities.ActivityDelegate,dd485345
System.Activities.ActivityFunc`1,dd486077
System.Activities.ActivityFunc`2,dd466069
System.Activities.ActivityFunc`3,dd486270
System.Activities.ActivityFunc`4,dd466035
System.Activities.ActivityFunc`5,dd465641
System.Activities.ActivityFunc`6,dd986968
System.Activities.ActivityFunc`7,dd986437
System.Activities.ActivityFunc`8,dd988295
System.Activities.ActivityFunc`9,dd987886
System.Activities.ActivityFunc`10,dd988941
System.Activities.ActivityFunc`11,dd986390
System.Activities.ActivityFunc`12,dd987244
System.Activities.ActivityFunc`13,dd987456
System.Activities.ActivityFunc`14,dd987990
System.Activities.ActivityFunc`15,dd987211
System.Activities.ActivityFunc`16,dd779953
System.Activities.ActivityFunc`17,dd986938
System.Activities.ActivityInstance,dd486394
System.Activities.ActivityInstanceState,dd486018
System.Activities.ActivityMetadata,dd988311
System.Activities.ActivityPropertyReference,ee370895
System.Activities.ActivityWithResult,dd780696
System.Activities.Argument,dd454659
System.Activities.ArgumentDirection,dd466036
System.Activities.AsyncCodeActivity,dd781105
System.Activities.AsyncCodeActivity`1,dd780675
System.Activities.AsyncCodeActivityContext,dd779805
System.Activities.Bookmark,dd466051
System.Activities.BookmarkCallback,dd486430
System.Activities.BookmarkOptions,dd454572
System.Activities.BookmarkResumptionResult,dd988071
System.Activities.BookmarkScope,dd781350
System.Activities.BookmarkScopeHandle,dd988380
System.Activities.CodeActivity,dd485367
System.Activities.CodeActivity`1,dd465967
System.Activities.CodeActivityContext,dd501973
System.Activities.CodeActivityMetadata,dd986560
System.Activities.CodeActivityPublicEnvironmentAccessor,hh136340
System.Activities.CompletionCallback,dd454600
System.Activities.CompletionCallback`1,dd484889
System.Activities.DelegateArgument,dd986778
System.Activities.DelegateCompletionCallback,dd454580
System.Activities.DelegateInArgument,dd987116
System.Activities.DelegateInArgument`1,dd987988
System.Activities.DelegateOutArgument,dd988097
System.Activities.DelegateOutArgument`1,dd988191
System.Activities.DynamicActivity,dd485337
System.Activities.DynamicActivity`1,dd465645
System.Activities.DynamicActivityProperty,dd987226
System.Activities.ExceptionPersistenceExtension,hh192251
System.Activities.ExclusiveHandle,dd986785
System.Activities.ExecutionProperties,dd454689
System.Activities.FaultCallback,dd454536
System.Activities.Handle,dd485589
System.Activities.HandleInitializationContext,dd486053
System.Activities.IExecutionProperty,dd484891
System.Activities.InArgument,dd486392
System.Activities.InArgument`1,dd465965
System.Activities.InOutArgument,dd484884
System.Activities.InOutArgument`1,dd502004
System.Activities.InvalidWorkflowException,dd781326
System.Activities.InvokeCompletedEventArgs,dd454574
System.Activities.IPropertyRegistrationCallback,dd465579
System.Activities.Location,dd485613
System.Activities.Location`1,dd486266
System.Activities.LocationReference,dd780014
System.Activities.LocationReferenceEnvironment,ee169392
System.Activities.NativeActivity,dd485350
System.Activities.NativeActivity`1,dd454626
System.Activities.NativeActivityAbortContext,dd987469
System.Activities.NativeActivityContext,dd987455
System.Activities.NativeActivityFaultContext,dd988927
System.Activities.NativeActivityMetadata,dd782010
System.Activities.NativeActivityTransactionContext,dd780412
System.Activities.NoPersistHandle,dd485870
System.Activities.OutArgument,dd485838
System.Activities.OutArgument`1,dd485644
System.Activities.OverloadGroupAttribute,dd465626
System.Activities.PersistableIdleAction,ee149782
System.Activities.RegistrationContext,dd486269
System.Activities.RequiredArgumentAttribute,dd988620
System.Activities.RuntimeArgument,dd454495
System.Activities.RuntimeDelegateArgument,dd987246
System.Activities.RuntimeTransactionHandle,dd466045
System.Activities.UnhandledExceptionAction,dd485585
System.Activities.ValidationException,dd486274
System.Activities.Variable,dd486631
System.Activities.Variable`1,dd485861
System.Activities.VariableModifiers,dd485647
System.Activities.VersionMismatchException,hh136445
System.Activities.WorkflowApplication,dd987846
System.Activities.WorkflowApplicationAbortedEventArgs,dd781121
System.Activities.WorkflowApplicationAbortedException,dd779595
System.Activities.WorkflowApplicationCompletedEventArgs,dd780977
System.Activities.WorkflowApplicationCompletedException,dd986757
System.Activities.WorkflowApplicationEventArgs,dd988950
System.Activities.WorkflowApplicationException,dd986964
System.Activities.WorkflowApplicationIdleEventArgs,dd987328
System.Activities.WorkflowApplicationInstance,hh136403
System.Activities.WorkflowApplicationTerminatedException,dd988192
System.Activities.WorkflowApplicationUnhandledExceptionEventArgs,dd987613
System.Activities.WorkflowApplicationUnloadedException,dd779951
System.Activities.WorkflowDataContext,dd501947
System.Activities.WorkflowIdentity,hh157287
System.Activities.WorkflowIdentityFilter,hh135941
System.Activities.WorkflowInspectionServices,dd988507
System.Activities.WorkflowInvoker,dd484932
System.Activities.Core.Presentation.ConnectionPointType,ee403181
System.Activities.Core.Presentation.DesignerMetadata,ee403183
System.Activities.Core.Presentation.FinalState,gg570578
System.Activities.Core.Presentation.FlowchartDesignerCommands,ee403176
System.Activities.Core.Presentation.GenericTypeArgumentConverter,ee403202
System.Activities.Core.Presentation.LocationChangedEventArgs,ee403205
System.Activities.Core.Presentation.Factories.ForEachWithBodyFactory`1,ee403155
System.Activities.Core.Presentation.Factories.ParallelForEachWithBodyFactory`1,ee403152
System.Activities.Core.Presentation.Factories.PickWithTwoBranchesFactory,ee403161
System.Activities.Core.Presentation.Factories.StateMachineWithInitialStateFactory,gg570582
System.Activities.Core.Presentation.Themes.DesignerStylesDictionary,ee403167
System.Activities.Debugger.DebugInfo,hh462518
System.Activities.Debugger.IDebuggableWorkflowTree,dd483660
System.Activities.Debugger.LocalsItemDescription,dd483698
System.Activities.Debugger.SourceLocation,dd483611
System.Activities.Debugger.SourceLocationFoundEventArgs,hh157128
System.Activities.Debugger.SourceLocationProvider,dd483670
System.Activities.Debugger.State,dd483597
System.Activities.Debugger.StateManager,dd483718
System.Activities.Debugger.ThreadWorkerController,dd483689
System.Activities.Debugger.VirtualStackFrame,dd483609
System.Activities.Debugger.XamlDebuggerXmlReader,dd483636
System.Activities.Debugger.Symbol.ActivitySymbol,hh157090
System.Activities.Debugger.Symbol.DebugSymbol,hh157088
System.Activities.Debugger.Symbol.WorkflowSymbol,hh157099
System.Activities.DurableInstancing.ActivatableWorkflowsQueryResult,ee725441
System.Activities.DurableInstancing.CreateWorkflowOwnerCommand,ee149906
System.Activities.DurableInstancing.CreateWorkflowOwnerWithIdentityCommand,hh157136
System.Activities.DurableInstancing.DeleteWorkflowOwnerCommand,ee149832
System.Activities.DurableInstancing.HasActivatableWorkflowEvent,ee725425
System.Activities.DurableInstancing.HasRunnableWorkflowEvent,ee725446
System.Activities.DurableInstancing.InstanceCompletionAction,ee248441
System.Activities.DurableInstancing.InstanceEncodingOption,ee248432
System.Activities.DurableInstancing.InstanceLockedExceptionAction,ee259429
System.Activities.DurableInstancing.LoadWorkflowByInstanceKeyCommand,ee191705
System.Activities.DurableInstancing.LoadWorkflowCommand,ee149941
System.Activities.DurableInstancing.QueryActivatableWorkflowsCommand,ee725438
System.Activities.DurableInstancing.SaveWorkflowCommand,ee149814
System.Activities.DurableInstancing.SqlWorkflowInstanceStore,ee248447
System.Activities.DurableInstancing.TryLoadRunnableWorkflowCommand,ee725429
System.Activities.DynamicUpdate.ActivityBlockingUpdate,hh135498
System.Activities.DynamicUpdate.DynamicUpdateInfo,hh157295
System.Activities.DynamicUpdate.DynamicUpdateMap,dd556135
System.Activities.DynamicUpdate.DynamicUpdateMapBuilder,hh157154
System.Activities.DynamicUpdate.DynamicUpdateMapItem,hh157215
System.Activities.DynamicUpdate.DynamicUpdateMapQuery,hh157181
System.Activities.DynamicUpdate.DynamicUpdateServices,dd556109
System.Activities.DynamicUpdate.InstanceUpdateException,hh157327
System.Activities.DynamicUpdate.NativeActivityUpdateContext,hh135453
System.Activities.DynamicUpdate.NativeActivityUpdateMapMetadata,hh135465
System.Activities.DynamicUpdate.UpdateMapMetadata,hh157240
System.Activities.ExpressionParser.SourceExpressionException,dd453954
System.Activities.Expressions.Add`3,dd330672
System.Activities.Expressions.And`3,dd330398
System.Activities.Expressions.AndAlso,dd484650
System.Activities.Expressions.ArgumentReference`1,dd782002
System.Activities.Expressions.ArgumentValue`1,dd986946
System.Activities.Expressions.ArrayItemReference`1,dd484725
System.Activities.Expressions.ArrayItemValue`1,dd484683
System.Activities.Expressions.As`2,dd330701
System.Activities.Expressions.AssemblyReference,hh135924
System.Activities.Expressions.Cast`2,dd330684
System.Activities.Expressions.CompiledExpressionInvoker,hh135829
System.Activities.Expressions.DelegateArgumentReference`1,dd780819
System.Activities.Expressions.DelegateArgumentValue`1,dd987730
System.Activities.Expressions.Divide`3,dd484641
System.Activities.Expressions.EnvironmentLocationReference`1,hh192036
System.Activities.Expressions.EnvironmentLocationValue`1,hh157256
System.Activities.Expressions.Equal`3,dd484733
System.Activities.Expressions.ExpressionServices,dd484672
System.Activities.Expressions.FieldReference`2,dd484744
System.Activities.Expressions.FieldValue`2,dd484635
System.Activities.Expressions.GreaterThan`3,dd330663
System.Activities.Expressions.GreaterThanOrEqual`3,dd484702
System.Activities.Expressions.IndexerReference`2,dd780243
System.Activities.Expressions.InvokeFunc`1,dd986974
System.Activities.Expressions.InvokeFunc`2,dd780393
System.Activities.Expressions.InvokeFunc`3,dd781648
System.Activities.Expressions.InvokeFunc`4,dd988317
System.Activities.Expressions.InvokeFunc`5,dd779543
System.Activities.Expressions.InvokeFunc`6,dd782017
System.Activities.Expressions.InvokeFunc`7,dd988151
System.Activities.Expressions.InvokeFunc`8,dd987488
System.Activities.Expressions.InvokeFunc`9,dd780257
System.Activities.Expressions.InvokeFunc`10,dd779974
System.Activities.Expressions.InvokeFunc`11,dd781838
System.Activities.Expressions.InvokeFunc`12,dd988400
System.Activities.Expressions.InvokeFunc`13,dd986941
System.Activities.Expressions.InvokeFunc`14,dd780114
System.Activities.Expressions.InvokeFunc`15,dd780817
System.Activities.Expressions.InvokeFunc`16,dd781810
System.Activities.Expressions.InvokeFunc`17,dd987723
System.Activities.Expressions.InvokeMethod`1,dd986354
System.Activities.Expressions.ITextExpression,hh135936
System.Activities.Expressions.LambdaReference`1,dd986756
System.Activities.Expressions.LambdaSerializationException,dd987249
System.Activities.Expressions.LambdaValue`1,dd987687
System.Activities.Expressions.LessThan`3,dd330687
System.Activities.Expressions.LessThanOrEqual`3,dd501543
System.Activities.Expressions.Literal`1,dd779539
System.Activities.Expressions.MultidimensionalArrayItemReference`1,dd988323
System.Activities.Expressions.Multiply`3,dd501558
System.Activities.Expressions.New`1,dd330397
System.Activities.Expressions.NewArray`1,dd484668
System.Activities.Expressions.Not`2,dd484720
System.Activities.Expressions.NotEqual`3,dd484659
System.Activities.Expressions.Or`3,dd484741
System.Activities.Expressions.OrElse,dd484695
System.Activities.Expressions.PropertyReference`2,dd330679
System.Activities.Expressions.PropertyValue`2,dd484658
System.Activities.Expressions.Subtract`3,dd330660
System.Activities.Expressions.TextExpression,hh135677
System.Activities.Expressions.ValueTypeFieldReference`2,dd779779
System.Activities.Expressions.ValueTypeIndexerReference`2,dd988198
System.Activities.Expressions.ValueTypePropertyReference`2,dd987370
System.Activities.Expressions.VariableReference`1,dd988245
System.Activities.Expressions.VariableValue`1,dd779791
System.Activities.Hosting.BookmarkInfo,ee149791
System.Activities.Hosting.BookmarkScopeInfo,ee191726
System.Activities.Hosting.IWorkflowInstanceExtension,ee473671
System.Activities.Hosting.LocationInfo,ee169517
System.Activities.Hosting.SymbolResolver,ee473685
System.Activities.Hosting.WorkflowInstance,dd987251
System.Activities.Hosting.WorkflowInstance.WorkflowInstanceControl,dd986530
System.Activities.Hosting.WorkflowInstanceExtensionManager,dd989180
System.Activities.Hosting.WorkflowInstanceProxy,ee725465
System.Activities.Hosting.WorkflowInstanceState,dd780245
System.Activities.Persistence.PersistenceIOParticipant,dd988250
